Date,Open,High,Low,Close,Adj Close,Volume
"October 09, 2025",522.34,524.33,517.4,522.4,519.11,18343600
"October 08, 2025",523.28,526.95,23.09,24.85,571.55,13363400
"October 07, 2025",528.29,529.8,521.44,523.98,520.68,14615200
"October 06, 2025",518.61,531.03,518.2,528.57,525.24,21388600
"October 03, 2025",517.1,520.49,15.0,517.35,514.09,15112
"October 02, 2025",517.64,521.6,510.68,515.74,512.49,21222900
"October 01, 2025",514.8,520.51,511.69,519.71,516.44,22632300
"September 30, 2025",513.24,518.16,509.66,517.95,514.69,19728200
"September 29, 2025",511.5,516.85,508.88,514.6,511.36,17617800
"September 26, 2025",510.06,513.94,506.62,511.46,508.24,16213100
"September 25, 2025",508.3,510.01,505.04,507.03,503.84,15786500
"September 24, 2025",510.38,512.48,506.92,510.15,506.94,13533700
"September 23, 2025",513.8,514.59,507.31,509.23,506.03,19799600
"September 22, 2025",515.59,517.74,512.54,514.45,511.21,20009300
"September 19, 2025",510.56,519.3,510.31,517.93,514.67,52474100
"September 18, 2025",511.49,513.07,507.66,508.45,505.25,18913700
"September 17, 2025",510.62,511.29,505.93,510.02,506.81,15816600
"September 16, 2025",516.88,517.23,508.6,509.04,505.84,19711900
"September 15, 2025",508.79,515.47,507.0,515.36,512.12,17143800
"September 12, 2025",506.65,512.55,503.85,509.9,506.69,23624900
"September 11, 2025",502.25,503.17,497.88,501.01,497.86,18881600
"September 10, 2025",502.98,503.23,496.72,500.37,497.22,21611800
"September 09, 2025",501.43,502.25,497.7,498.41,495.27,14410500
"September 08, 2025",498.11,501.2,495.03,498.2,495.06,16771000
"September 05, 2025",509.07,511.97,492.37,495.0,491.88,31994800
"September 04, 2025",504.3,508.15,503.15,507.97,504.77,15509500
"September 03, 2025",503.79,507.79,502.32,505.35,502.17,16345100
"September 02, 2025",500.47,506.0,496.81,505.12,501.94,18128000
"August 29, 2025",508.66,509.6,504.49,506.69,503.5,20961600
"August 28, 2025",507.09,511.09,505.5,509.64,506.43,18015600
"August 27, 2025",502.0,507.29,499.9,506.74,503.55,17277900
"August 26, 2025",504.36,504.98,498.51,502.04,493.88,30835700
"August 25, 2025",506.63,508.19,504.12,504.26,501.09,21638600
"August 22, 2025",504.25,510.73,502.41,507.23,504.04,24324200
"August 21, 2025",503.69,507.63,502.72,504.24,501.07,18443300
"August 20, 2025",509.87,511.0,504.44,505.72,501.71,27723000
"August 19, 2025",515.0,515.16,508.55,509.77,505.73,21481000
"August 18, 2025",521.59,522.82,514.02,517.1,513.0,23760600
